STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE_ITER,AREA (in sq. km)_ITER,CRIMES AGAINST CHILDREN_ITER,JUVENILES APPREHENDED_ITER,POLICEMEN KILLED_ITER,THEFT CASES REPOERTED_ITER,THEFT VALUE TOTAL_ITER,TOTAL  Dacoity_ITER,TOTAL  Robbery_ITER,TOTAL  Burglary_ITER,TOTAL  Theft_ITER,Total Petty Crime_ITER,Human Rights Violation Cases_ITER,Policemen Chargesheeted_ITER,Polimen Charged_ITER
GOA,2002,1370938,30,20,4,12,0,12,9,5,4,5,0,24,376,496,146,350,79,27,78,3,25,236,2,18,6,8,0,202,780,2,0,51,2440,82.29,3702.0,-2.6255172624710212,67.0,0.0,901.0,31014056.0,5.0,24.0,376.0,496.0,901.0,2.3264250392066432,-0.5483100850240641,0.24879129363587538
GUJARAT,2002,51234618,1532,759,13,267,0,267,1015,807,208,804,12,1098,5327,15742,6195,9547,3665,1385,1457,46,1915,13531,62,750,104,3321,0,3258,50612,1370,340,5311,106675,70.96,196024.0,472.52211754787686,2349.0,58.0,22971.0,2019751221.0,804.0,1098.0,5327.0,15742.0,22971.0,14.0,12.0,0.0
HARYANA,2002,21553266,760,487,89,361,1,360,427,290,137,61,162,330,3048,5962,2955,3007,700,579,933,32,199,4514,256,454,1424,1565,0,955,16854,243,5,4350,40152,68.81,44212.0,638.1329481252096,1850.0,32.0,-14036.690647482013,181014015.36507714,61.0,330.0,3048.0,5962.0,9401.0,1.0,1.0,0.0
HIMACHAL PRADESH,2002,6176050,123,86,6,137,0,137,138,116,22,0,1,18,710,564,142,422,646,75,137,0,145,1476,6,326,12,234,0,482,6921,97,3,831,12243,77.04,55673.0,10.214196634343608,117.0,1.0,1292.0,118036202.0,0.0,18.0,710.0,564.0,1292.0,0.0,0.0,0.0
JAMMU & KASHMIR,2002,10267594,1048,1240,31,192,0,192,674,596,78,42,0,163,1321,2020,664,1356,996,91,382,20,386,366,18,785,368,54,0,380,9390,13,6,2013,19967,57.0,222236.0,50.79298654035421,3.0,96.0,3546.0,100880037.0,42.0,163.0,1321.0,2020.0,3546.0,5.0,2.0,0.0
JHARKHAND,2002,27345207,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,125,124,2288,31439,55.86,74677.0,-120.96796886145762,731.0,34.0,22827.309352517987,430050269.84830123,580.0,780.0,1419.0,4374.0,7153.0,4.544525165078538,2.8746190069238913,1.2760789135260087
KARNATAKA,2002,53673558,1627,1576,55,292,0,292,645,300,345,178,66,972,6480,13818,4376,9442,6838,485,2764,175,437,22824,233,1648,100,1826,0,152,50508,1787,240,4399,113699,67.55,191791.0,878.0496621973352,265.0,19.0,35115.30935251799,649442353.5630609,178.0,972.0,6480.0,13818.0,21448.0,5.0,0.0,0.0
KERALA,2002,32081624,454,562,210,499,0,499,162,91,71,137,4,610,4624,5743,1978,3765,8090,357,2924,135,452,19033,17,2123,102,2836,0,32,55094,524,102,5668,104200,91.06,38852.0,385.28175445832017,207.0,0.0,-5844.690647482013,1584474.565351367,137.0,610.0,4624.0,5743.0,11114.0,4.3984683719519,0.37886191695000715,-0.46061757195988084
MADHYA PRADESH,2002,61348350,2395,2864,194,2891,0,2891,964,639,325,136,142,1829,13344,20759,4845,15914,3178,507,1240,54,1053,29955,674,7118,783,3117,0,3679,94923,7217,2504,15222,191799,64.47,308245.0,3036.903099774234,6981.0,39.0,2347.3093525179866,1157659922.6770158,136.0,1829.0,13344.0,20759.0,36068.0,1.0,0.0,0.0
MAHARASHTRA,2002,98400213,2768,1435,93,1352,1,1351,953,650,303,548,271,2136,14471,37606,9122,28484,6360,1468,4145,176,1269,29250,303,2686,769,5353,0,9407,42643,634,271,11113,165462,77.65,307713.0,2796.238752258086,4461.0,60.0,54761.0,2245771729.0,548.0,2136.0,14471.0,37606.0,54761.0,10.0,9.0,0.0
